"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Access Control Devices and Systems","NetIQ Identity Manager 4.9.0","OpenText","SE","EAL3,ALC_FLR.3","","06/19/2025","06/19/2030","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report NetIQ Identity Manager 4.9.0_1-0_23FMV2873-35.pdf(732453) (0)_TMP.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/IDM 4.9.0 ST_0.14.pdf","","","",""
"Access Control Devices and Systems","NetIQ Directory Resource Administrator 10.2.3","OpenText","SE","EAL2+,ALC_FLR.3","","05/08/2025","05/08/2030","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report NetIQ Directory Resource Administrator 10.2.3_1-0_24FMV1225-31.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NetIQ DRA 10.2.3 ST 1.14.pdf(725176) (0)_TMP.pdf","","","",""
"Access Control Devices and Systems","NetIQ Group Policy Administrator 6.9.4","OpenText","SE","EAL2+,ALC_FLR.3","","04/24/2025","04/24/2030","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report NetIQ Group Policy Administrator 6.9.4.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NetIQ GPA ST 6.9.4 v0.10.pdf","","","",""
"Access Control Devices and Systems","NetIQ Privileged Access Manager 4.5.0.0","OpenText","SE","EAL2+,ALC_FLR.3","","04/10/2025","04/10/2030","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report NetIQ PAM 4.5.0.0..pdf","http://www.commoncriteriaportal.org:80/files/epfiles/PAM 4.5 ST NetIQ PAM 4.5.0.0.pdf","","","",""
"Access Control Devices and Systems","KSignAccess V5.0","KSign Co., LTD.","KR","None","KECS-PP-1230-2023 SSO V3.0","03/07/2025","03/07/2030","http://www.commoncriteriaportal.org:80/files/epfiles/[KECS-CR-25-05] Certification Report(KSignAccess V5.0).pdf","http://www.commoncriteriaportal.org:80/files/epfiles/KSignAccess V5.0 Security Target V1.4.pdf","","","",""
"Access Control Devices and Systems","Oracle Identity Governance 12c","Oracle Corporation","CA","None","PP_ESM_ICM_V2.1","10/09/2024","10/09/2029","http://www.commoncriteriaportal.org:80/files/epfiles/604-LSS CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/604-LSS ST v1.5.pdf","","","",""
"Access Control Devices and Systems","Magic SSO V4.5","Dreamsecurity Co., Ltd.","KR","None","KECS-PP-1230-2023 SSO V3.0","08/29/2024","08/29/2029","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CR-24-48 Certification Report(Magic SSO V4.5).pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Magic_SSO_V4.5-ST-v1.3_EN.pdf","","","",""
"Access Control Devices and Systems","iSIGN+ v4.0","PENTA SECURITY SYSTEMS INC.","KR","None","KECS-PP-1230-2023 SSO V3.0","08/12/2024","08/12/2029","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CR-24-45 Certification Report(iSIGN+ v4.0) R0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/iSIGN+_v4.0_Security Target_v1.2.pdf","","","",""
"Access Control Devices and Systems","CyberArk Privileged Access Manager – Digital Vault Server v14.0.0.40","CyberArk Software, Ltd","NL","Basic,ADV_FSP.1,AGD_OPE.1,AGD_PRE.1,ALC_CMC.1,ALC_CMS.1,ASE_CCL.1,ASE_ECD.1,ASE_INT.1,ASE_SPD.1,ASE_TSS.1,ATE_IND.1,AVA_VAN.1,ASE_SPD.1","PKG_TLS_V1.1,PP_APP_V1.4","07/03/2024","07/03/2029","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2400013-01-CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2400013-01-ST_1.8.pdf","","","",""
"Access Control Devices and Systems","Cyberark Privileged Access Manager – Linux Components including PSMP v14.0.0.14","CyberArk Software, Ltd","NL","Basic,ADV_FSP.1,AGD_OPE.1,AGD_PRE.1,ALC_CMC.1,ALC_CMS.1,ASE_CCL.1,ASE_ECD.1,ASE_INT.1,ASE_SPD.1,ASE_TSS.1,ATE_IND.1,AVA_VAN.1,ALC_TSU_EXT.1","PKG_SSH_V1.0,PKG_TLS_V1.1,PP_APP_V1.4","07/03/2024","07/03/2029","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2400011-01-CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2400011-01-ST_1.9.pdf","","","",""
"Access Control Devices and Systems","CyberArk Privileged Access Manager – Windows Components including PSM v14.0.0.9, CPM v14.0.0.9 and PVWA v14.0.0.32","CyberArk Software, Ltd","NL","Basic,ADV_FSP.1,AGD_OPE.1,AGD_PRE.1,ALC_CMC.1,ALC_CMS.1,ASE_CCL.1,ASE_ECD.1,ASE_INT.1,ASE_SPD.1,ASE_TSS.1,ATE_IND.1,AVA_VAN.1","PKG_TLS_V1.1,PP_APP_V1.4","07/03/2024","07/03/2029","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2400012-01-CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2400012-01-ST_1.8.pdf","","","",""
"Access Control Devices and Systems","Pass-Ni SSO v5.0","UbiNtisLab Co., Ltd.","KR","None","KECS-PP-0822A-2017 SSO V1.1","02/07/2024","02/07/2029","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CISS-1288-2024_CR_EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/PassNi-SSO-v5.0-ST-V1.0.R3(EN).pdf","","","",""
"Access Control Devices and Systems","INISAFE NexessV4.3","INITECH","KR","None","KECS-PP-0822A-2017 SSO V1.1","10/19/2023","10/19/2028","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CR-23-64 INISAFE Nexess V4.3(eng) rev1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/CCP.C_NX43_SecurityTarget(ST)_Lite_V1.0.pdf","","","",""
"Access Control Devices and Systems","Oracle Access Management 12c","Oracle Corporation","CA","Basic","PP_ESM_AC_V2.1,PP_ESM_PM_V2.1","09/20/2023","09/20/2028","http://www.commoncriteriaportal.org:80/files/epfiles/572-LSS CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/572-LSS ST v2.0.pdf","","","",""
"Access Control Devices and Systems","TouchEn Wiseaccess v1.4","RaonSecure Co., Ltd","KR","None","KECS-PP-0822A-2017 SSO V1.1","06/02/2023","06/02/2028","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CR-23-38_EN.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/wiseaccess-D-ST v1.4.4(eng).pdf","","","",""
"Access Control Devices and Systems","OTACToken V1.0","SSenStone Inc.","KR","EAL1+,ATE_FUN.1","","05/03/2023","05/03/2028","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CR-23-31 Certification Report(OTACToken V1.0).pdf","http://www.commoncriteriaportal.org:80/files/epfiles/OTACToken V1.0 Security Target V1.7.pdf","","","",""
"Access Control Devices and Systems","KSignAccess V4.1","KSign Co., LTD.","KR","None","KECS-PP-0822A-2017 SSO V1.1","03/30/2022","03/30/2027","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CR-22-11 Certification Report(KSignAccess V4.1).pdf","http://www.commoncriteriaportal.org:80/files/epfiles/KSignAccess V4.1 Security Target V1.3.pdf","","","",""
