category_id,category_name,description,subcategories,example_products,primary_use_cases,target_industries,pqc_migration_priority,typical_integration_points
CSC-001,Cryptographic Libraries,Core libraries providing cryptographic primitives and algorithms for application development,"General-purpose libraries, Language-specific libraries, Lightweight/embedded libraries","OpenSSL, BoringSSL, LibreSSL, Bouncy Castle, libsodium, wolfSSL, mbed TLS, Crypto++, NaCl, GnuTLS","Application encryption, Digital signatures, Key derivation, Hashing, Random number generation","All industries",Critical,"Applications, APIs, Backend services, Mobile apps"
CSC-002,Hardware Security Module (HSM) Software,Software for managing and interfacing with Hardware Security Modules,"HSM management consoles, PKCS#11 providers, HSM client libraries, Cloud HSM interfaces","Thales Luna HSM, Utimaco SecurityServer, Entrust nShield, AWS CloudHSM, Azure Dedicated HSM, Google Cloud HSM, Futurex KMES","Root key protection, Code signing, PKI operations, Payment processing, Database encryption keys","Finance, Government, Healthcare, Defense",Critical,"PKI systems, Key management, Payment gateways, Database encryption"
CSC-003,Key Management Systems (KMS),Enterprise software for lifecycle management of cryptographic keys,"Enterprise KMS, Cloud KMS, Secrets management, Key orchestration","HashiCorp Vault, AWS KMS, Azure Key Vault, Google Cloud KMS, Thales CipherTrust Manager, IBM Security Guardium Key Lifecycle Manager, Venafi","Key generation, Key rotation, Key distribution, Secrets management, Policy enforcement","All industries",Critical,"Applications, Databases, Cloud services, Containers, DevOps pipelines"
CSC-004,Public Key Infrastructure (PKI) Software,Software for managing digital certificates and certificate authorities,"Certificate Authority software, Registration Authority, Certificate management, OCSP/CRL services","EJBCA, Microsoft AD CS, DigiCert PKI Platform, Sectigo Certificate Manager, Keyfactor, Venafi Trust Protection Platform, OpenXPKI, Dogtag","Certificate issuance, Certificate lifecycle, Identity verification, Code signing, Device authentication","All industries",Critical,"Identity management, Web servers, IoT devices, Email systems, VPN"
CSC-005,TLS/SSL Implementation Software,Software implementing Transport Layer Security protocols,"TLS libraries, SSL termination, TLS inspection, Certificate pinning tools","OpenSSL, GnuTLS, NSS, s2n-tls, rustls, Boring SSL, wolfSSL, mbed TLS","Secure communications, Web security, API security, Email encryption","All industries",Critical,"Web servers, Load balancers, Proxies, Application gateways"
CSC-006,Disk and File Encryption Software,Software for encrypting data at rest on storage devices,"Full disk encryption, File-level encryption, Container encryption, Virtual disk encryption","BitLocker, VeraCrypt, LUKS, FileVault, Symantec Endpoint Encryption, McAfee Drive Encryption, Sophos SafeGuard","Data protection at rest, Compliance, Endpoint security, Removable media protection","All industries",High,"Endpoints, Servers, Removable storage, Virtual machines"
CSC-007,Database Encryption Software,Software for encrypting data within databases,"Transparent Data Encryption (TDE), Column-level encryption, Application-level encryption, Tokenization","Oracle TDE, Microsoft SQL Server TDE, IBM Db2 Native Encryption, MongoDB Enterprise Encryption, Thales CipherTrust Database Protection, Voltage SecureData","Database security, PCI compliance, HIPAA compliance, Data masking","Finance, Healthcare, Retail, Government",High,"Database servers, Data warehouses, Cloud databases"
CSC-008,Email Encryption Software,Software for securing email communications,"S/MIME solutions, PGP/GPG tools, Gateway encryption, End-to-end encryption","Proton Mail, Virtru, Zix, Mimecast, Microsoft 365 Message Encryption, Symantec Email Security, GPG4Win, Mailvelope","Secure email, Compliance, Data loss prevention, Executive communications","All industries",High,"Email clients, Email gateways, Mail servers"
CSC-009,Digital Signature Software,Software for creating and verifying digital signatures,"Document signing, Code signing, XML/PDF signing, Qualified electronic signatures","DocuSign, Adobe Sign, SignNow, DigiCert Secure Software Manager, SignServer, jSign, iText","Document authentication, Contract signing, Code integrity, Non-repudiation","Finance, Legal, Government, Healthcare",High,"Document management, CI/CD pipelines, Workflow systems"
CSC-010,VPN and IPsec Software,Software implementing VPN and IPsec protocols,"Site-to-site VPN, Remote access VPN, IPsec implementations, SSL VPN","strongSwan, OpenVPN, WireGuard, Cisco AnyConnect, Palo Alto GlobalProtect, Fortinet FortiClient, libreswan","Secure remote access, Site connectivity, Network segmentation","All industries",High,"Network infrastructure, Firewalls, Endpoint clients"
