software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date
.NET System.Security.Cryptography,,,,,not_found,,2026-03-31
01 Quantum IronCAP,,,,,not_found,,2026-03-31
1Password,,,,,not_found,,2026-03-31
A10 Networks Thunder ADC,,,,,not_found,,2026-03-31
Adobe Acrobat Sign,,,,,not_found,,2026-03-31
Adva FSP 3000 S-Flex,,,,,not_found,,2026-03-31
Adva Network Security FSP 3000 S-Flex,,,,,not_found,,2026-03-31
Akamai Connected Cloud,,,,,not_found,,2026-03-31
Akamai Edge,,,,,not_found,,2026-03-31
Algorand,,,,,not_found,,2026-03-31
Alpine Linux,cpe:2.3:o:alpinelinux:alpine_linux:-:*:*:*:*:*:*:*,alpinelinux,alpine_linux,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=alpine%20linux,2026-03-31
Amazon CloudFront,cpe:2.3:a:amazon:amazon_cloudfront:-:*:*:*:*:*:*:*,amazon,amazon_cloudfront,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=amazon%20cloudfront,2026-03-31
Amazon Cognito,,,,,not_found,,2026-03-31
Amazon EKS,,,,,not_found,,2026-03-31
Amazon Web Services (AWS),,,,,not_found,,2026-03-31
AMD SEV-SNP (Secure Encrypted Virtualization),,,,,not_found,,2026-03-31
AMD Versal Adaptive SoC,,,,,not_found,,2026-03-31
Anchorage Digital,,,,,not_found,,2026-03-31
Android 16,,,,,not_found,,2026-03-31
ANKATech ANKASecure,,,,,not_found,,2026-03-31
Apache Guacamole,cpe:2.3:a:apache:guacamole:0.8.3:*:*:*:*:*:*:*,apache,guacamole,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20guacamole,2026-03-31
Apache HTTP Server,cpe:2.3:a:apache:http_server:1.2:*:*:*:*:*:*:*,apache,http_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20http_server,2026-03-31
Apache Tomcat,cpe:2.3:a:apache:tomcat:-:*:*:*:*:*:*:*,apache,tomcat,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20tomcat,2026-03-31
Apache Traffic Server,cpe:2.3:a:apache:traffic_server:2.0.0:*:*:*:*:*:*:*,apache,traffic_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20traffic%20server,2026-03-31
Apple codesign,,,,,not_found,,2026-03-31
Apple PQ3 / CoreCrypto,,,,,not_found,,2026-03-31
Apple Safari,cpe:2.3:a:apple:safari:-:*:*:*:*:*:*:*,apple,safari,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apple%20safari,2026-03-31
AppViewX CERT+,,,,,not_found,,2026-03-31
AppViewX Spring 2026,,,,,not_found,,2026-03-31
