software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date
.NET System.Security.Cryptography,pkg:github/dotnet/runtime,github,dotnet,runtime,exact,matched,https://github.com/dotnet/runtime,2026-03-31
01 Quantum IronCAP,,,,,,not_found,,2026-03-31
1Password,,,,,,not_found,,2026-03-31
A10 Networks Thunder ADC,,,,,,not_found,,2026-03-31
Adobe Acrobat Sign,,,,,,not_found,,2026-03-31
Adva FSP 3000 S-Flex,,,,,,not_found,,2026-03-31
Adva Network Security FSP 3000 S-Flex,,,,,,not_found,,2026-03-31
Akamai Connected Cloud,,,,,,not_found,,2026-03-31
Akamai Edge,,,,,,not_found,,2026-03-31
Algorand,pkg:github/algorand/go-algorand,github,algorand,go-algorand,exact,matched,https://github.com/algorand/go-algorand,2026-03-31
Alpine Linux,,,,,,not_found,,2026-03-31
Amazon CloudFront,,,,,,not_found,,2026-03-31
Amazon Cognito,,,,,,not_found,,2026-03-31
Amazon EKS,,,,,,not_found,,2026-03-31
Amazon Web Services (AWS),,,,,,not_found,,2026-03-31
AMD SEV-SNP (Secure Encrypted Virtualization),pkg:github/AMDESE/AMDSEV,github,AMDESE,AMDSEV,exact,matched,https://github.com/AMDESE/AMDSEV,2026-03-31
AMD Versal Adaptive SoC,,,,,,not_found,,2026-03-31
Anchorage Digital,,,,,,not_found,,2026-03-31
Android 16,,,,,,not_found,,2026-03-31
ANKATech ANKASecure,,,,,,not_found,,2026-03-31
Apache Guacamole,pkg:github/apache/guacamole-server,github,apache,guacamole-server,exact,matched,https://github.com/apache/guacamole-server,2026-03-31
Apache HTTP Server,pkg:github/apache/httpd,github,apache,httpd,exact,matched,https://github.com/apache/httpd,2026-03-31
Apache Tomcat,pkg:github/apache/tomcat,github,apache,tomcat,exact,matched,https://github.com/apache/tomcat,2026-03-31
Apache Traffic Server,pkg:github/apache/trafficserver,github,apache,trafficserver,exact,matched,https://github.com/apache/trafficserver,2026-03-31
Apple codesign,,,,,,not_found,,2026-03-31
Apple PQ3 / CoreCrypto,,,,,,not_found,,2026-03-31
Apple Safari,,,,,,not_found,,2026-03-31
AppViewX CERT+,,,,,,not_found,,2026-03-31
AppViewX Spring 2026,,,,,,not_found,,2026-03-31
Aptos,pkg:github/aptos-labs/aptos-core,github,aptos-labs,aptos-core,exact,matched,https://github.com/aptos-labs/aptos-core,2026-03-31
Arch Linux,,,,,,not_found,,2026-03-31
Arista EOS (Extensible Operating System),,,,,,not_found,,2026-03-31
ARM Confidential Compute Architecture (CCA),pkg:github/ARM-software/cca-rmm-acs,github,ARM-software,cca-rmm-acs,exact,matched,https://github.com/ARM-software/cca-rmm-acs,2026-03-31
ARM Trusted Firmware (TF-A),pkg:github/ARM-software/arm-trusted-firmware,github,ARM-software,arm-trusted-firmware,exact,matched,https://github.com/ARM-software/arm-trusted-firmware,2026-03-31
ARM TrustZone,,,,,,not_found,,2026-03-31
Arqit Encryption Intelligence,,,,,,not_found,,2026-03-31
Ascertia ADSS PKI Server,,,,,,not_found,,2026-03-31
Ascertia ADSS Server/SAM,,,,,,not_found,,2026-03-31
Ascertia ADSS Signing Server,,,,,,not_found,,2026-03-31
AsyncSSH,pkg:github/ronf/asyncssh,github,ronf,asyncssh,exact,matched,https://github.com/ronf/asyncssh,2026-03-31
Auth0 (Okta Customer Identity),,,,,,not_found,,2026-03-31
Avalanche,pkg:github/ava-labs/avalanchego,github,ava-labs,avalanchego,exact,matched,https://github.com/ava-labs/avalanchego,2026-03-31
AWS Application Load Balancer (ALB),,,,,,not_found,,2026-03-31
AWS CloudHSM,,,,,,not_found,,2026-03-31
AWS Identity and Access Management (IAM),,,,,,not_found,,2026-03-31
AWS KMS,,,,,,not_found,,2026-03-31
AWS KMS (Cloud Gateway),,,,,,not_found,,2026-03-31
AWS s2n-tls,pkg:github/aws/s2n-tls,github,aws,s2n-tls,exact,matched,https://github.com/aws/s2n-tls,2026-03-31
AWS-LC,pkg:github/aws/aws-lc,github,aws,aws-lc,manual,matched,https://github.com/aws/aws-lc,2026-03-31
Azure AKS,,,,,,not_found,,2026-03-31
Azure Dedicated HSM (Marvell LiquidSecurity),,,,,,not_found,,2026-03-31
Azure DevOps,,,,,,not_found,,2026-03-31
Azure Key Vault,,,,,,not_found,,2026-03-31
Barracuda Email Protection,,,,,,not_found,,2026-03-31
BERTEN MLDS-B235,,,,,,not_found,,2026-03-31
BERTEN MLKE-B135,,,,,,not_found,,2026-03-31
Bitcoin Core,pkg:github/bitcoin/bitcoin,github,bitcoin,bitcoin,exact,matched,https://github.com/bitcoin/bitcoin,2026-03-31
BitGo,,,,,,not_found,,2026-03-31
BitLocker (Windows),,,,,,not_found,,2026-03-31
Bitwarden,,,,,,not_found,,2026-03-31
BoringSSL,pkg:github/google/boringssl,github,google,boringssl,manual,matched,https://github.com/google/boringssl,2026-03-31
Botan,pkg:github/randombit/botan,github,randombit,botan,exact,matched,https://github.com/randombit/botan,2026-03-31
Bouncy Castle C# .NET,pkg:nuget/BouncyCastle.Cryptography,nuget,,BouncyCastle.Cryptography,manual,matched,https://www.nuget.org/packages/BouncyCastle.Cryptography,2026-03-31
Bouncy Castle C\# / Java,,,,,,not_found,,2026-03-31
Bouncy Castle Java,pkg:maven/org.bouncycastle/bcprov-jdk18on,maven,org.bouncycastle,bcprov-jdk18on,manual,matched,https://mvnrepository.com/artifact/org.bouncycastle/bcprov-jdk18on,2026-03-31
Bouncy Castle Java LTS,pkg:maven/org.bouncycastle/bcprov-lts8on,maven,org.bouncycastle,bcprov-lts8on,manual,matched,https://mvnrepository.com/artifact/org.bouncycastle/bcprov-lts8on,2026-03-31
Brave Browser,,,,,,not_found,,2026-03-31
Broadcom Avi (NSX ALB),,,,,,not_found,,2026-03-31
Broadcom Symantec DLP,,,,,,not_found,,2026-03-31
Broadcom Symantec SES,,,,,,not_found,,2026-03-31
BTQ Bitcoin Quantum,,,,,,not_found,,2026-03-31
Cardano,pkg:github/IntersectMBO/cardano-node,github,IntersectMBO,cardano-node,exact,matched,https://github.com/IntersectMBO/cardano-node,2026-03-31
CAST KiviPQC-KEM,,,,,,not_found,,2026-03-31
CentOS Stream,,,,,,not_found,,2026-03-31
Check Point Quantum,,,,,,not_found,,2026-03-31
Checkmarx One,,,,,,not_found,,2026-03-31
ChromeOS,,,,,,not_found,,2026-03-31
Ciena WaveLogic 6 Extreme,,,,,,not_found,,2026-03-31
CircleCI,,,,,,not_found,,2026-03-31
Cisco ASA (Adaptive Security Appliance),,,,,,not_found,,2026-03-31
Cisco Catalyst Center,,,,,,not_found,,2026-03-31
Cisco Identity Services Engine (ISE),,,,,,not_found,,2026-03-31
Cisco IOS XE PQC,,,,,,not_found,,2026-03-31
Cisco IOS XR,,,,,,not_found,,2026-03-31
Cisco Meraki MX (Cloud-Managed Firewall),,,,,,not_found,,2026-03-31
Cisco Secure Client (AnyConnect),,,,,,not_found,,2026-03-31
Cisco Webex,,,,,,not_found,,2026-03-31
citadel_pqcrypto,pkg:github/citadel-protocol/citadel_pqcrypto,github,citadel-protocol,citadel_pqcrypto,exact,matched,https://github.com/citadel-protocol/citadel_pqcrypto,2026-03-31
Citrix ADC (NetScaler),,,,,,not_found,,2026-03-31
Citrix CVAD,,,,,,not_found,,2026-03-31
Citrix Virtual Apps and Desktops,,,,,,not_found,,2026-03-31
Claroty Platform,,,,,,not_found,,2026-03-31
Cloudflare CIRCL,,,,,,not_found,,2026-03-31
Cloudflare Edge Network,,,,,,not_found,,2026-03-31
Cloudflare Zero Trust,,,,,,not_found,,2026-03-31
CockroachDB Encryption,pkg:github/cockroachdb/cockroach,github,cockroachdb,cockroach,exact,matched,https://github.com/cockroachdb/cockroach,2026-03-31
Codegic Khatim PKI Server,,,,,,not_found,,2026-03-31
Codegic Khatim Sign Server,,,,,,not_found,,2026-03-31
Cohesity DataCloud,,,,,,not_found,,2026-03-31
Coinbase Custody,,,,,,not_found,,2026-03-31
Commvault Cloud,,,,,,not_found,,2026-03-31
Copper.co,,,,,,not_found,,2026-03-31
coreboot,pkg:github/coreboot/coreboot,github,coreboot,coreboot,exact,matched,https://github.com/coreboot/coreboot,2026-03-31
Cosmian covercrypt,pkg:github/Cosmian/cover_crypt,github,Cosmian,cover_crypt,exact,matched,https://github.com/Cosmian/cover_crypt,2026-03-31
Cosmos/Tendermint,pkg:github/cosmos/cosmos-sdk,github,cosmos,cosmos-sdk,exact,matched,https://github.com/cosmos/cosmos-sdk,2026-03-31
Cranium AI Security Platform,,,,,,not_found,,2026-03-31
CREDEBL,,,,,,not_found,,2026-03-31
CrowdStrike Falcon,,,,,,not_found,,2026-03-31
Crucible,pkg:github/symbolicsoft/crucible,github,symbolicsoft,crucible,exact,matched,https://github.com/symbolicsoft/crucible,2026-03-31
Crypto Quantique QDID Platform,,,,,,not_found,,2026-03-31
Crypto++ (cryptopp),pkg:github/weidai11/cryptopp,github,weidai11,cryptopp,exact,matched,https://github.com/weidai11/cryptopp,2026-03-31
Crypto4A QxEDGE,,,,,,not_found,,2026-03-31
Crypto4A QxHSM,,,,,,not_found,,2026-03-31
Cryptomathic CKMS,,,,,,not_found,,2026-03-31
Cryptomathic CrystalKey 360,,,,,,not_found,,2026-03-31
CryptoNext COMPASS Network Probe,,,,,,not_found,,2026-03-31
CryptoNext COMPASS Probe,,,,,,not_found,,2026-03-31
CryptoNext Quantum-Safe Library,,,,,,not_found,,2026-03-31
Cryptosense Analyzer,,,,,,not_found,,2026-03-31
CRYSTALS Reference Implementations,,,,,,not_found,,2026-03-31
CyberArk Conjur,,,,,,not_found,,2026-03-31
Cyberint (Check Point),,,,,,not_found,,2026-03-31
CZERTAINLY,,,,,,not_found,,2026-03-31
Debian 12 (Bookworm),,,,,,not_found,,2026-03-31
Delinea Secret Server,,,,,,not_found,,2026-03-31
Dell BSAFE Crypto Module for C,,,,,,not_found,,2026-03-31
Dell BSAFE Crypto-J,,,,,,not_found,,2026-03-31
Dell PowerStore OS 4.0,,,,,,not_found,,2026-03-31
DFNS,,,,,,not_found,,2026-03-31
DigiCert CertCentral,,,,,,not_found,,2026-03-31
DigiCert Device Trust Manager,,,,,,not_found,,2026-03-31
DigiCert ONE,,,,,,not_found,,2026-03-31
DigiCert SigningHub,,,,,,not_found,,2026-03-31
DigiCert Software Trust Manager,,,,,,not_found,,2026-03-31
DigiCert Trust Lifecycle Manager,,,,,,not_found,,2026-03-31
DigiCert TrustCore SDK,,,,,,not_found,,2026-03-31
Docker Engine 28.0,,,,,,not_found,,2026-03-31
Dogtag Certificate System,,,,,,not_found,,2026-03-31
Dragos Platform,,,,,,not_found,,2026-03-31
Druva Data Resiliency Cloud,,,,,,not_found,,2026-03-31
DuckDuckGo Browser,,,,,,not_found,,2026-03-31
Eclipse Jetty,pkg:github/jetty/jetty.project,github,jetty,jetty.project,exact,matched,https://github.com/jetty/jetty.project,2026-03-31
EJBCA,pkg:github/Keyfactor/ejbca-ce,github,Keyfactor,ejbca-ce,exact,matched,https://github.com/Keyfactor/ejbca-ce,2026-03-31
Elastic Stack (ELK),,,,,,not_found,,2026-03-31
Element (Matrix Protocol),,,,,,not_found,,2026-03-31
Entrust Cryptographic Platform,,,,,,not_found,,2026-03-31
Entrust Identity as a Service (IDaaS),,,,,,not_found,,2026-03-31
Entrust KeyControl,,,,,,not_found,,2026-03-31
Entrust nShield,,,,,,not_found,,2026-03-31
Entrust PKI,,,,,,not_found,,2026-03-31
Envoy Proxy,pkg:github/envoyproxy/envoy,github,envoyproxy,envoy,exact,matched,https://github.com/envoyproxy/envoy,2026-03-31
Ericsson Quantum-Safe 5G,,,,,,not_found,,2026-03-31
essendi xc,,,,,,not_found,,2026-03-31
Ethereum (Geth),pkg:github/ethereum/go-ethereum,github,ethereum,go-ethereum,exact,matched,https://github.com/ethereum/go-ethereum,2026-03-31
EUDI Reference Wallet,pkg:github/eu-digital-identity-wallet/eudi-app-android-wallet-ui,github,eu-digital-identity-wallet,eudi-app-android-wallet-ui,exact,matched,https://github.com/eu-digital-identity-wallet/eudi-app-android-wallet-ui,2026-03-31
EVERTRUST HORIZON,,,,,,not_found,,2026-03-31
EVERTRUST STREAM,,,,,,not_found,,2026-03-31
Eviden IDnomic PKI,,,,,,not_found,,2026-03-31
Eviden Trustway Proteccio NetHSM,,,,,,not_found,,2026-03-31
evolutionQ BasejumpQDN,,,,,,not_found,,2026-03-31
evolutionQ BasejumpSKI,,,,,,not_found,,2026-03-31
ExeQuantum,,,,,,not_found,,2026-03-31
ExpressVPN Lightway,,,,,,not_found,,2026-03-31
F5 BIG-IP,,,,,,not_found,,2026-03-31
Fastly Edge Cloud,,,,,,not_found,,2026-03-31
Fedora Linux,,,,,,not_found,,2026-03-31
