industry,threat_id,threat_description,criticality,crypto_at_risk,pqc_replacement,main_source,source_url,accuracy_pct
Cross-Industry,CROSS-001,"Quantum-safe readiness gap: Organizations score average 25/100 on IBM Quantum-Safe Readiness Index. 70% lack complete cryptographic inventory, creating massive vulnerability window. Estimated 5-6 year gap between CRQC arrival and organizational readiness completion.",Critical,"All asymmetric cryptography, PKI infrastructure, key management systems","Comprehensive CBOM, automated discovery tools, ML-KEM/ML-DSA migration",IBM Quantum-Safe Readiness Index 2025,https://www.ibm.com/quantum/quantum-safe,95
Cross-Industry,CROSS-003,"Vendor dependency crisis: 62% of organizations incorrectly assume vendors will manage quantum-safe transition automatically. Lack of contractual PQC requirements and service-level agreements for crypto-agility.",High,"Third-party API keys, vendor-managed HSMs, cloud KMS","Vendor PQC roadmap requirements, contractual crypto-agility clauses",IBM Quantum-Safe Readiness Index 2025,https://www.ibm.com/quantum/quantum-safe,80
Financial Services / Banking,FIN-013,"BIS Project Leap quantum-safe payment integration: Central banks implementing quantum-safe wholesale CBDC settlement. Phase 2 launched July 2025 with Bank of Italy, France, Germany, Nexi, and SWIFT testing hybrid PQC on TARGET2 real-time gross settlement for cross-border transactions worth trillions daily.",Critical,"Wholesale CBDC infrastructure, cross-border settlement, RSA-2048, ECDSA, TLS legacy","ML-KEM-1024, ML-DSA-87, hybrid TLS 1.3, HQC",Bank for International Settlements Project Leap Phase 2,https://www.bis.org/publ/othp107.htm,75
Financial Services / Banking,THREAT-FIN-126,"Harvest Now Decrypt Later (HNDL) attacks targeting long-lived financial data including transaction records and settlement logs. Federal Reserve research confirms cryptocurrency networks face permanent data privacy risks from HNDL even with future PQC deployment.",Critical,"RSA-2048, ECDSA, ECDH, ECC-256/384","ML-KEM-1024, ML-DSA-87, SLH-DSA, AES-256",Federal Reserve Board FEDS Paper September 2025,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,95
Government / Defense,GOV-001,"HNDL on classified data: TOP SECRET information requiring 25-75+ year protection is actively harvested for future quantum decryption. Current encryption provides no protection against this threat.",Critical,"RSA-2048/4096, ECDH P-384, ECDSA","ML-KEM-1024, ML-DSA-87, AES-256",NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,95
Government / Defense,GOV-011,"CNSA 2.0 compliance deadline pressure: NSS acquisitions must be CNSA 2.0 compliant by January 2027. Full transition required by 2035 with intermediate milestones for networking (2030) and OS/web/cloud (2033).",Critical,"Federal PKI, NSS communications, classified systems, defense supply chain","FIPS 140-3 validated PQC modules, CMVP certification acceleration",NSA CNSA 2.0 Guidance,https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF,70
Government / Defense,GOV-012,"Federal PQC product category list: CISA January 2026 product category list identifies where PQC is widely available across cloud services, collaboration tools, core web software, and endpoint security. Vendors without PQC FIPS validation risk federal contract exclusion.",High,"COTS products, federal IT infrastructure, defense systems","NIST FIPS 203/204/205 compliance, ACVP testing, vendor roadmaps",CISA Product Categories for PQC Technologies,https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards,80
Healthcare / Pharmaceutical,HLTH-001,"HNDL on patient records: Healthcare data has lifetime sensitivity; genomic data and mental health records remain sensitive indefinitely. HIPAA mandates 6+ year retention but records persist 25+ years.",Critical,"RSA, ECDH, ECDSA, TLS","ML-KEM-768/1024, ML-DSA, AES-256",HHS HIPAA Security Rule,https://www.hhs.gov/hipaa/for-professionals/security/index.html,90
Healthcare / Pharmaceutical,HLTH-012,"Healthcare cloud encryption and breach crisis: Only 4% of healthcare operators encrypted 80%+ of sensitive cloud data. Thales 2025 report shows 57% evaluating PQC but low actual deployment. 677 major breaches in 2024 exposed 182M+ individuals globally. Health records retain lifetime sensitivity making them prime HNDL targets.",Critical,"EHR databases, medical imaging, patient portals, health information exchanges, cloud encryption","ML-KEM-768/1024, ML-DSA, AES-256-GCM, quantum-safe TLS",Thales 2025 Data Threat Report Healthcare Edition,https://cpl.thalesgroup.com/resources/healthcare-data-threat-report,90
Telecommunications,TELCO-001,"HNDL on subscriber data: Mobile network operators retain call detail records, location data, and encrypted communications for 2-10 years. 5G user data encrypted with vulnerable algorithms.",Critical,"RSA, ECDSA, AES-128 (some legacy)","ML-KEM-1024, ML-DSA, AES-256",GSMA Security Guidelines,https://www.gsma.com/security/,85
Cloud Computing / Data Centers,CLOUD-005,"Cloud backup and disaster recovery: Air-gapped backups and long-term archival storage vulnerable to harvest-now-decrypt-later.",High,"Backup encryption, archival",PQC-enabled backup solutions,TechTarget Quantum Data Center Analysis,https://www.techtarget.com/searchdatabackup/feature/The-future-of-quantum-data-centers-Resilience-and-risk,70
IT Industry / Software,IT-006,"Open source cryptographic libraries: OpenSSL 3.5 released April 2025 with ML-KEM, ML-DSA, and SLH-DSA support. Libsodium and others lagging. Widespread dependency risk.",Critical,Legacy crypto in libraries,"OpenSSL 3.5+, OQS provider",OpenSSL PQC Integration,https://www.openssl.org/blog/blog/2024/04/16/pqc-update/,85
Cryptocurrency / Blockchain,CRYPTO-001,"Bitcoin ECDSA transaction hijacking: ~$718B in quantum-vulnerable P2PK addresses with exposed public keys (price-dependent estimate). Early P2PK addresses including Satoshi's ~1.1M BTC permanently vulnerable as public keys are exposed on-chain.",Critical,secp256k1 ECDSA,"P2QRH BIP proposal, Lamport sigs",Federal Reserve HNDL Paper,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,70
