software_name,category,latest_version,release_date,license,authoritative_source,product_brief,pqc_support,fips_validated,primary_platforms,pqc_readiness_score,migration_timeline,relevant_standards,deployment_urgency,industry_impact
OpenSSL,Cryptographic Library,3.5.4,2025-09-30,Apache-2.0,https://www.openssl.org/,Robust commercial-grade TLS/SSL and crypto library. Implements TLS 1.3 DTLS 1.3 and QUIC protocols. Reference implementation for cryptographic operations used by majority of HTTPS websites.,Yes (ML-KEM ML-DSA SLH-DSA in v3.5),Yes (FIPS 140-3),Linux macOS Windows Android OpenVMS,90,Ready Now (2025),FIPS 203; FIPS 204; FIPS 205,CRITICAL - Foundation for all crypto,All Industries
OpenSSL (LTS),Cryptographic Library,3.0.18,2025-09-30,Apache-2.0,https://www.openssl.org/,Long-term support branch of OpenSSL with extended maintenance. FIPS 140-2/140-3 validated provider available.,Limited,Yes (FIPS 140-3 #4943),Linux macOS Windows,40,Early 2026,FIPS 203; FIPS 204; FIPS 205,CRITICAL - Foundation for all crypto,All Industries
Bouncy Castle Java,Cryptographic Library,1.83,2025-12,MIT/Bouncy Castle License,https://www.bouncycastle.org/,Comprehensive Java implementation of cryptographic algorithms. Supports JCE/JCA provider lightweight API PGP S/MIME DTLS TLS OCSP TSP CMP and certificate generation.,Yes (ML-KEM ML-DSA SLH-DSA HQC),Yes (BC-FJA 2.1.2 FIPS 140-3),Java 1.8+ Android,90,Ready Now (2025),FIPS 203; FIPS 204; FIPS 205,CRITICAL - Foundation for all crypto,All Industries
Bouncy Castle Java LTS,Cryptographic Library,2.73.9,2025-09-23,Bouncy Castle License,https://www.bouncycastle.org/,Long-term support release with enterprise stability. Includes PQC support and supply chain transparency features.,Yes (ML-DSA composite signatures),Yes,Java 8 11 17 21,45,Ready Now (2025),FIPS 203; FIPS 204; FIPS 205,CRITICAL - Foundation for all crypto,All Industries
Bouncy Castle Java FIPS,Cryptographic Library,BC-FJA 2.1.2,2025,Bouncy Castle License,https://www.bouncycastle.org/,FIPS 140-3 Level 1 certified Java cryptographic module with Intel AES-NI and SHA-256 hardware support.,No,Yes (FIPS 140-3 #4943),Java 8 11 17 21,10,Urgent - Q1 2026 target,FIPS 203; FIPS 204; FIPS 205,CRITICAL - Foundation for all crypto,All Industries
Bouncy Castle C# .NET,Cryptographic Library,2.6.1,2025-06-09,MIT/Bouncy Castle License,https://www.bouncycastle.org/,C# implementation of cryptographic algorithms for .NET platform with PQC interoperability support.,Yes (HQC ML-KEM),Yes (FIPS 140-3),Windows Linux macOS (.NET),40,Ready Now (2025),FIPS 203; FIPS 204; FIPS 205,CRITICAL - Foundation for all crypto,All Industries
libsodium,Cryptographic Library,1.0.20-stable,2025-12-08,ISC,https://libsodium.gitbook.io/,Modern easy-to-use crypto library. Fork of NaCl with cross-platform support. Focuses on high-security default configurations and misuse-resistant APIs.,No,No,Linux Windows macOS Android iOS WebAssembly,0,Urgent - Q1 2026 target,FIPS 203; FIPS 204; FIPS 205,CRITICAL - Foundation for all crypto,All Industries
wolfSSL,TLS/SSL Library,5.8.2,2025-07-17,GPLv3/Commercial,https://www.wolfssl.com/,Lightweight portable TLS/SSL library for embedded devices to cloud. Supports TLS 1.3 DTLS 1.3 with small footprint. Includes wolfCrypt crypto engine.,Yes (ML-DSA ML-KEM Kyber),Yes (FIPS 140-3),Embedded Linux Windows RTOS ESP32 STM32,70,Ready Now (2025),FIPS 203 (ML-KEM); RFC 8446; IETF TLS 1.3 Hybrid KEM,CRITICAL - High visibility exposure,All Industries
wolfSSH,SSH Implementation,1.4.20,2025-02-20,GPLv3/Commercial,https://github.com/wolfSSL/wolfssh,Small fast portable SSH implementation with SCP and SFTP support. Designed for embedded and resource-constrained environments.,Yes (Kyber Ed25519),No,Embedded Linux Windows Zephyr,30,Early 2026,draft-kampanakis-ml-kem-ikev2; RFC 4253,HIGH - Privileged access,"All Industries (DevOps, Operations)"
wolfBoot,Secure Boot,2.4.0,2025-01-29,GPLv3/Commercial,https://www.wolfssl.com/,Universal secure bootloader with HSM integration and PQC support (ML-DSA). Suitable for IoT automotive and aerospace applications.,Yes (ML-DSA),Yes (FIPS 140-3 via wolfCrypt),ARM x86 RISC-V,40,Ready Now (2025),FIPS 203; FIPS 204; FIPS 205,HIGH - Platform integrity,Multiple Industries
