Country,FlagCode,OrgName,OrgFullName,OrgLogoUrl,Type,Category,StartYear,EndYear,Title,Description,SourceUrl,SourceDate
Australia,AU,ASD,Australian Signals Directorate,,Milestone,Guidance,2022,2022,Initial PQC Planning Guide,ASD publishes initial Planning for Post-Quantum Cryptography guidance.,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2022-07-01
Australia,AU,ASD,Australian Signals Directorate,,Milestone,Guidance,2024,2024,ISM December 2024 Update,"ASD updates ISM with specific PQC requirements including ML-DSA-87, ML-KEM-1024, SHA-384/512, AES-256 by 2030.",https://www.cyber.gov.au/sites/default/files/2024-12/22. ISM - Guidelines for Cryptography (December 2024).pdf,2024-12-01
Australia,AU,ASD,Australian Signals Directorate,,Phase,Discovery,2024,2026,Migration Planning Phase,"Organizations develop refined PQC transition plan accounting for security goals, risk tolerances, and data value.",https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01
Australia,AU,ASD,Australian Signals Directorate,,Milestone,Guidance,2025,2025,PQC Planning Guide Updated,ASD publishes updated Planning for PQC guidance with LATICE framework and detailed milestones.,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01
Australia,AU,ASD,Australian Signals Directorate,,Phase,Migration,2026,2028,Critical Systems Migration Start,Implementation of PQC algorithms begins with most critical and sensitive systems.,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01
Australia,AU,ASD,Australian Signals Directorate,,Phase,Migration,2028,2030,Full Migration Phase,Complete transition to ASD-approved PQC algorithms across all systems.,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01
Australia,AU,ASD,Australian Signals Directorate,,Milestone,Deadline,2030,2030,Traditional Crypto Prohibited,"Cease use of traditional asymmetric cryptography (RSA, ECDSA, ECDH). Full transition to PQC complete.",https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,2025-09-01
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Milestone,Guidance,2023,2023,PQC Best Practices Published,CFDIR publishes Canadian National Quantum-Readiness Best Practices and Guidelines.,https://ised-isde.canada.ca/site/spectrum-management-telecommunications/sites/default/files/attachments/2023/cfdir-quantum-readiness-best-practices-v03.pdf,2023-06-12
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Milestone,Guidance,2025,2025,PQC Migration Roadmap Published,CCCS publishes ITSM.40.001 Roadmap for migration to PQC for Government of Canada.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23
Canada,CA,TBS,Treasury Board of Canada Secretariat,,Milestone,Policy,2025,2025,SPIN Notice Published,"Security Policy Implementation Notice on PQC migration effective October 9, 2025 under Policy on Government Security.",https://www.canada.ca/en/government/system/digital-government/policies-standards/spin/migrating-government-canada-post-quantum-cryptography.html,2025-10-09
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Phase,Discovery,2025,2026,Departmental Planning Phase,Federal departments develop initial departmental PQC migration plans. Due by April 2026.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Milestone,Deadline,2026,2026,Contract PQC Clauses Required,"All new Government of Canada contracts must include PQC capability clauses by April 1, 2026.",https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Phase,Migration,2026,2031,High Priority Migration Phase,Migration of high priority government systems. Annual progress reporting required.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Milestone,Deadline,2031,2031,High Priority Systems Complete,Completion of PQC migration for high priority government systems.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Phase,Migration,2031,2035,Remaining Systems Migration,Migration of all remaining non-classified government systems.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23
Canada,CA,CCCS,Canadian Centre for Cyber Security,,Milestone,Deadline,2035,2035,Full GC Migration Complete,Completion of PQC migration for all Government of Canada non-classified systems.,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,2025-06-23
China,CN,CACR,Chinese Association for Cryptologic Research,,Milestone,Standardization,2020,2020,CACR PQC Competition Results,CACR announces results of its post-quantum cryptography competition selecting initial algorithms.,https://www.sdxcentral.com/articles/analysis/china-russia-to-adopt-slightly-different-pqc-standards-from-us/2022/10/,2020-01-01
China,CN,ICCS,Institute of Commercial Cryptography Standards,,Milestone,Standardization,2025,2025,NGCC Program Launched,China launches Next-Generation Commercial Cryptographic (NGCC) Algorithms Program for PQC standardization.,https://www.niccs.org.cn/en/,2025-02-05
China,CN,CAC,Cyberspace Administration of China,,Phase,Research,2025,2027,NGCC Algorithm Evaluation,"NGCC program evaluates submitted algorithms for security, performance, and implementation feasibility.",https://thequantuminsider.com/2025/02/18/china-launches-its-own-quantum-resistant-encryption-standard-bypassing-us-efforts/,2025-02-18
China,CN,CAC,Cyberspace Administration of China,,Milestone,Standardization,2027,2027,National PQC Standards Expected,Expected release of Chinese national standards for post-quantum cryptography.,https://www.belfercenter.org/publication/quantum-computing-and-cybersecurity-china,2023-01-01
China,CN,CAC,Cyberspace Administration of China,,Phase,Migration,2027,2030,Financial Sector Migration,Mandated migration for critical financial infrastructure to quantum-safe cryptography.,https://www.belfercenter.org/publication/quantum-computing-and-cybersecurity-china,2023-01-01
Czech Republic,CZ,NUKIB,National Cyber and Information Security Agency,,Milestone,Guidance,2023,2023,Cryptographic Recommendations,NUKIB publishes Minimum Requirements for cryptographic algorithms with PQC guidance.,https://www.nukib.cz/en/,2023-01-01
Czech Republic,CZ,NUKIB,National Cyber and Information Security Agency,,Phase,Migration,2024,2027,Key Establishment Migration,Migration for key establishment and encryption systems.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2023-01-01
Czech Republic,CZ,NUKIB,National Cyber and Information Security Agency,,Milestone,Deadline,2027,2027,Encryption Migration Complete,Complete migration by 2027 for key establishment and encryption. Firmware/software signing as soon as possible.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2023-01-01
European Union,EU,EC,European Commission,,Milestone,Policy,2024,2024,EU PQC Recommendation Published,European Commission publishes Recommendation (EU) 2024/1101 on Coordinated Implementation Roadmap for PQC transition.,https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography,2024-04-11
European Union,EU,EC,European Commission,,Milestone,Policy,2024,2024,21-Nation Joint Statement,"France, Germany, and Netherlands lead joint statement on PQC transition with 21 EU member state signatories.",https://www.bsi.bund.de/EN/Service-Navi/Presse/Pressemitteilungen/Presse2024/241127_Post-Quantum_Cryptography.html,2024-11-28
European Union,EU,EC/ENISA,European Commission / ENISA,,Phase,Discovery,2024,2026,National Roadmap Development,Member States develop initial national PQC transition roadmaps and start identification and awareness activities.,https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography,2024-04-11
European Union,EU,NIS CG,NIS Cooperation Group,,Milestone,Guidance,2025,2025,EU PQC Roadmap Published,NIS Cooperation Group publishes Coordinated Implementation Roadmap for PQC with specific milestones for all member states.,https://securitydelta.nl/media/com_hsd/report/750/document/Roadmap-on-postquantum-cryptography-PzBJxNUYyeuEdVUacWL696DofZQ-117507.pdf,2025-06-23
European Union,EU,EC/ENISA,European Commission / ENISA,,Phase,Testing,2025,2026,Member State Pilots,All EU member states conduct PQC pilot implementations and establish national strategies.,https://securitydelta.nl/media/com_hsd/report/750/document/Roadmap-on-postquantum-cryptography-PzBJxNUYyeuEdVUacWL696DofZQ-117507.pdf,2025-06-23
European Union,EU,EC/ENISA,European Commission / ENISA,,Phase,Migration,2026,2030,High-Risk Systems Migration,"High-risk use cases, notably critical infrastructure and vital sectors, implement PQC.",https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography,2025-06-23
European Union,EU,EC/ENISA,European Commission / ENISA,,Milestone,Deadline,2030,2030,Critical Infrastructure PQC Complete,High-risk use cases including critical infrastructure must be secured with PQC.,https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography,2025-06-23
European Union,EU,EC/ENISA,European Commission / ENISA,,Phase,Migration,2030,2035,Full Transition Phase,Complete PQC transition for remaining systems across Europe.,https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography,2025-06-23
